"Dataset","Number of the triple","Time"
"gtfs","10000","24.145198345184326"
"gtfs","20000","40.75319480895996"
"gtfs","30000","40.82564687728882"
"gtfs","40000","40.86020374298096"
"gtfs","50000","40.94122123718262"
"gtfs","60000","40.97448134422302"
"gtfs","70000","41.05346322059631"
"gtfs","80000","41.08277201652527"
"gtfs","90000","41.16730809211731"
"gtfs","100000","41.199453592300415"
"gtfs","110000","41.23159313201904"
"gtfs","120000","41.336233615875244"
"gtfs","130000","41.363022327423096"
"gtfs","140000","41.435084104537964"
"gtfs","150000","41.465343952178955"
"gtfs","160000","41.52766561508179"
"gtfs","170000","41.55398893356323"
"gtfs","180000","41.61861276626587"
"gtfs","190000","41.64614415168762"
"gtfs","200000","41.73870801925659"
"gtfs","210000","41.77426838874817"
"gtfs","220000","41.85893678665161"
"gtfs","230000","41.89075493812561"
"gtfs","240000","41.97298264503479"
"gtfs","250000","42.002392292022705"
"gtfs","260000","42.08539628982544"
"gtfs","270000","42.30632185935974"
"gtfs","280000","42.45617866516113"
"gtfs","290000","42.667938470840454"
"gtfs","300000","42.8296332359314"
"gtfs","310000","42.96715998649597"
"gtfs","320000","43.15623664855957"
"gtfs","330000","43.30712842941284"
"gtfs","340000","43.51354217529297"
"gtfs","350000","43.68732213973999"
"gtfs","360000","43.86988830566406"
"gtfs","370000","44.05605959892273"
"gtfs","380000","44.191704988479614"
"gtfs","390000","44.37710499763489"
"gtfs","400000","44.51535224914551"
"gtfs","410000","44.694939851760864"
"gtfs","420000","44.97200107574463"
"gtfs","430000","45.124555826187134"
"gtfs","440000","45.26253056526184"
"gtfs","450000","45.46422243118286"
"gtfs","460000","45.6046028137207"
"gtfs","470000","45.79417848587036"
"gtfs","480000","45.93601727485657"
"gtfs","490000","46.074479818344116"
"gtfs","500000","46.2391312122345"
"gtfs","510000","46.36935377120972"
"gtfs","520000","46.52319312095642"
"gtfs","530000","46.679985761642456"
"gtfs","540000","46.8085253238678"
"gtfs","550000","46.98295259475708"
"gtfs","560000","47.158355712890625"
"gtfs","570000","47.32851958274841"
